Master System,Genesis,Game Gear,Sega CD,Sega 32X,Saturn,Dreamcast
R-Type,Bonanza Bros.,Heavyweight Champ,My Paint: The Animated Paint Program,,FIFA Road to World Cup 98,Gunbird 2
R.C. Grand Prix,Bonkers,Home Alone,NBA Jam,,FIFA Soccer 96,Gundam Side Story 0079: Rise from the Ashes
Rambo III,Boogerman: A Pick and Flick Adventure,Hook,NFL Football Trivia Challenge,,FIFA Soccer 97,Heavy Metal Geomatrix
Rambo: First Blood Part II,Boxing Legends of The Ring,Indiana Jones and the Last Crusade,NFL's Greatest: San Francisco vs. Dallas 1978-1993,,Fighters Megamix,Hidden & Dangerous
Rampage,Bram Stoker's Dracula,Iron Man/X-O Manowar in Heavy Metal,NHL Hockey '94,,Fighting Vipers,Hoyle Casino
Rastan,Brett Hull Hockey '95,James Pond II: Codename RoboCod,Night Trap,,Frank Thomas Big Hurt Baseball,Hydro Thunder
Rescue Mission,Brutal: Paws of Fury,Jeopardy!,Novastorm,,Galactic Attack,Illbleed
Rocky,Bubba 'N' Stix,Jeopardy! Sports Edition,Panic!,,Galaxy Fight,Incoming
SDI: Strategic Defense Initiative,Bubble and Squeak,Joe Montana Football,Pitfall: The Mayan Adventure,,Gex,Industrial Spy: Operation Espionage
Safari Hunt,Bubsy II,Judge Dredd,Popful Mail,,Ghen War,Internet Browser V3.0
Shanghai,Bubsy in Claws Encounters of the Furred Kind,Junction,Power Factory Featuring C+C Music Factory,,Golden Axe: The Duel,Iron Aces
Shinobi,Buck Rogers: Countdown to Doomsday,Jungle Strike: The Sequel to Desert Strike,Power Monger,,Grand Slam,Jeremy McGrath Supercross 2000
Shooting Gallery,Budokan: The Martial Spirit,Jurassic Park,Prime / Microcosm,,Grid Runner,Jet Set Radio
Slap Shot,Bugs Bunny in Double Trouble,Kawasaki Superbike Challenge,Prince of Persia,,Guardian Heroes,JoJo's Bizarre Adventure
Snail Maze,Bulls versus Blazers and the NBA Playoffs,Klax,Prize Fighter,,Gungriffon,Kao the Kangaroo
Sonic the Hedgehog,Bulls vs Lakers and the NBA Playoffs,Krusty's Fun House,Puggsy,,Hang-On GP,KISS Psycho Circus: The Nightmare Child
Space Harrier,Burning Force,Land of Illusion Starring Mickey Mouse,Racing Aces,,Heir of Zendor: The Legend and The Land,Legacy of Kain: Soul Reaver
Space Harrier 3D,Cadash,Last Action Hero,Radical Rex,,Herc's Adventures,Looney Tunes: Space Race
SpellCaster,Caesars Palace,Legend of Illusion Starring Mickey Mouse,RDF: Global Conflict,,Hexen,MagForce Racing
Spider-Man vs. The Kingpin,Cal Ripken Jr. Baseball,Lemmings,Revenge of the Ninja,,Hi-Octane,Maken X
Sports Pad Football,Caliber.50,Madden NFL '95,Revengers of Vengeance,,High Velocity: Mountain Racing Challenge,Mars Matrix
Spy vs Spy,California Games,Madden NFL 96,Rise of the Dragon,,Highway 2000,Marvel vs. Capcom 2: New Age of Heroes
Strider,,Magical Puzzle Popils,Road Avenger,,Hyper 3D Pinball,Marvel vs. Capcom: Clash of Super Heroes
Super Monaco GP,Captain America and the Avengers,Marble Madness,Road Rash,,Impact Racing,Mat Hoffman's Pro BMX
Super Tennis,Castle of Illusion Starring Mickey Mouse,Mega Man,Robo Aleste,,In the Hunt,Max Steel Covert Missions
Teddy Boy Blues,Castlevania: Bloodlines,Mickey's Ultimate Challenge,Samurai Shodown,,Independence Day,Maximum Pool
The Ninja,,Micro Machines,Sega Classics Arcade Collection,,Iron Man/X-O Manowar in Heavy Metal,MDK 2
Thunder Blade,Centurion: Defender of Rome,Mighty Morphin Power Rangers,Sensible Soccer,,Iron Storm,Metropolis Street Racer
Time Soldiers,Chakan,Mighty Morphin Power Rangers: The Movie,Sewer Shark,,Johnny Bazookatone,Midway's Greatest Arcade Hits Volume 1
TransBot,Champions World Class Soccer,MLBPA Baseball,Shadow of the Beast II,,Last Bronx,Midway's Greatest Arcade Hits Volume 2
Vigilante,Championship Bowling,Monster Truck Wars,Sherlock Holmes: Consulting Detective Vol. I,,Last Gladiators,Monaco Grand Prix
Wanted,Championship Pool,Mortal Kombat,Sherlock Holmes: Consulting Detective Vol. II,,Loaded,Mortal Kombat Gold
Where in the World is Carmen Sandiego?,Championship Pro-Am,Mortal Kombat II,Shining Force CD,,Lunacy,Mr. Driller
Wonder Boy,Chase H.Q. II,Ms. Pac-Man,Silpheed,,Madden NFL 97,Ms. Pac-Man Maze Madness
Wonder Boy III: The Dragon's Trap,Chester Cheetah: Too Cool to Fool,NBA Action Starring David Robinson,Slam City with Scottie Pippen,,Madden NFL 98,MTV Sports: Skateboarding Featuring Andy Macdonald
