EVENTID,EVENT,DATE,OFFICIALRESULTS,VIDEOURL,GAMEID,GAME,GOAL,KEY,RUNNER1,RUNNER1TIME,RUNNER2,RUNNER2TIME,RUNNER3,RUNNER3TIME,RUNNER4,RUNNER4TIME,RUNNER5,RUNNER5TIME,RUNNER6,RUNNER6TIME,RUNNER7,RUNNER7TIME,RUNNER8,RUNNER8TIMR,RUNNER9,RUNNER9TIME,RUNNER10,RUNNER10TIME,RUNNER11,RUNNER11TIME,RUNNER12,RUNNER12TIME,RUNNER13,RUNNER13TIME,RUNNER14,RUNNER14TIME,RUNNER15,RUNNER15TIME,RUNNER16,RUNNER16TIME,RUNNER17,RUNNER17TIME,RUNNER18,RUNNER18TIME,RUNNER19,RUNNER19TIME,RUNNER20,RUNNER20TIME,RUNNER21,RUNNER21TIME
8,,,,,2,X-Men Mojo World,Beat the Game,8_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,3,Shining Force: The Sword of Hajya,Beat Iom Knight,8_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,4,The Incredible Crash Test Dummies,Beat the Game (Easy),8_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,5,Ninja Gaiden,Beat the Game,8_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sega 8 ,10/16/2021,https://racetime.gg/misc/overpowered-simon-5267,https://www.youtube.com/watch?v=t0aaa6pZbcY,1,Castlevania: Bloodlines,Beat Stage 4 (Normal),9_1,GnarBlast,1:17:00,Smartalec24,1:21:14,radioactive_man_from_mars,1:51:15,z_tox,2:12:58,Emsemts,2:26:30,FedePG,9:58:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,2,Gadget Twins,Get 5000 Points,9_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,3,Demolition Man,Beat the Game (Calm),9_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,4,Cutie Sazuki No Ringside Angel,Beat Strawberry,9_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,5,Scooby-Doo Mystery,Bear Scratch%,9_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,6,Fatal Labrynth,Reach Floor 11,9_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,7,Gargoyles,Beat Subterranean (Easy),9_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,8,Ecco Jr.,Beat the Game (Easy),9_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Master 8 #2,4/23/2022,https://racetime.gg/misc/funky-crusher-2878,https://www.youtube.com/watch?v=NzCYlv_bQhs,1,Wonder Boy III: The Dragon's Trap,Purchase Dragon Mail,10_1,GnarBlast,1:22:33,Quarbit85,1:24:49,sauloandrade_,1:34:14,radioactive_man_from_mars,1:54:25,Sacrieon,2:07:38,Emsemts,2:16:34,BrotherKyle88,5:19:07,FedePG,9:47:29,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,2,Dynamite Dux,Beat the Game,10_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,3,Klax,Clear 10 Waves,10_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,4,Tom & Jerry: The Movie,Beat the Game,10_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,5,Line of Fire,"Score Attack: 500,000 Points",10_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,6,Ninja Gaiden,"Beat 3-4, Pacifist",10_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,7,Golden Axe Warrior,Collect 3 Crystals,10_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,8,The Lucky Dime Caper Starring Donald Duck,Beat the Game,10_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Shinobi III Monthly Race #7,6/22/2022,,,1,Shinobi III: Return of the Ninja Master,Any%,11_1,keaur,0:27:49,Baconomelette,0:28:44,IcKYY,0:28:55,Faust4712,0:29:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5G Game Gear,7/16/2022,https://racetime.gg/misc/virtual-cutscene-1539,https://www.youtube.com/watch?v=aQskjvio0Mw,1,Disney's Aladdin,Beat the Game,12_1,JkL0ser,1:05:47,GnarBlast,1:14:12,Emsemts,1:34:55,z_tox,2:17:08,Random64,3:04:18,TheMotherBrain86,3:31:25,infinitemystery,3:51:31,FedePG,4:54:59,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,2,T2: The Arcade Game,Score Attack: 1 million,12_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,3,Road Rash,Purchase the PANDA 600,12_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,4,Ax Battler,Pick Up Fruit,12_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,5,Mega Man,Beat the Game,12_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
