EVENTID,RUNID,DATE,EVENT,RACETITLE,VIDEOURL,GAME,CONSOLE,RUNNER1,RUNNER2,RUNNER3,RUNNER4,RUNNER5,RUNNER6,RUNNER7,RUNNER8,RUNNER9,RUNNER10,RUNNER11,RUNNER12,RUNNER13,RUNNER14,RUNNER15,RUNNER16,COMMENTARY1,COMMENTARY2,COMMENTARY3,COMMENTARY4
,,,,,,Crazy Taxi,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Castle of Illusion Starring Mickey Mouse,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Burning Rival,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Eternal Champions,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,The House of the Dead 2,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Wonder Boy,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Puyo Puyo Sun,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Mega Man,Game Gear,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Castlevania: Bloodlines,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Puyo Puyo Sun,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,Silver,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Fighting Vipers,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Kishin Douji Zenki,Game Gear,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Pacar,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Sega Bass Fishing,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Final Fight CD,Sega CD,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,Die Hard Arcade,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,Atomic Robo-Kid,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Dynamite Cop,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Comix Zone,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Star Force,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic the Fighters,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Marvel vs. Capcom: Clash of Super Heroes,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,General Chaos,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Ninja Gaiden,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Shenmue,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Robo Pit,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,Disney's Aladdin,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Champion Boxing,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Tough Turf,Arcade,LRock617,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi Legions,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,The Revenge of Shinobi,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Ecco the Dolphin,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic the Hedgehog CD,Sega CD,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,Virtua Racing Deluxe,Sega 32X,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Chaotix,Sega 32X,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic Shuffle,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Ecco the Dolphin,Game Gear,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic Drift 2,Game Gear,Boostershane,,,,,,,,,,,,,,,,,,,
,,,,,,Space Invaders,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,The Cyber Shinobi,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Sonic R,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,Time Gal,Sega CD,Paulsaltine,,,,,,,,,,,,,,,,,,,
,,,,,,The Amazing Spider-Man: Web of Fire,Sega 32X,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Championship Lode Runner,SG-1000,Owazrim,,,,,,,,,,,,,,,,,,,
,,,,,,Shadow of the Beast,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Gunbird 2,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Mortal Kombat II,Sega 32X,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Pen Pen TriIceLon,Dreamcast,InfiniteMystery,,,,,,,,,,,,,,,,,,,
,,,,,,Shadow Dancer: The Secret of Shinobi,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Last Battle,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Keio Flying Squadron 2,Saturn,ShivaPSOBB,,,,,,,,,,,,,,,,,,,
,,,,,,Shinobi,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Rampage,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,QuackShot Starring Donald Duck,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Michael Jackson's Moonwalker,Master System,Faust4712,,,,,,,,,,,,,,,,,,,
,,,,,,Gunstar Heroes,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Blockbuster World Video Game Championship II,Genesis,Cypherin,,,,,,,,,,,,,,,,,,,
,,,,,,Virtua Racing,Sega 32X,Cypherin,,,,,,,,,,,,,,,,,,,
